ID,SMILES,T.cruzi
4976,[H]C1=C([H])C2=C(C([H])=C1[H])N(C([H])(C([H])([H])[H])C([H])([H])O2)S(=O)(=O)C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H],0
3330,[H]N(C(=O)C1=C([H])C([H])=C([H])O1)C1=C([H])C(=C([H])C([H])=C1[H])C(=O)N([H])C([H])([H])C1=C([H])C([H])=C([H])O1,0
545,[H]OC(C1=C([H])N=C(OC([H])([H])C2([H])C([H])([H])C2([H])[H])N=C1[H])(C1=C([H])N=C([H])C([H])=C1[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],1
5241,[H]OC([H])(C1=C([H])C([H])=C(OP(=O)(OC([H])([H])[H])OC([H])([H])[H])C([H])=C1[H])C(Cl)(Cl)Cl,0
569,[H]N(C(=O)C1([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])(C1=C([H])N=C([H])N=C1[H])C1=C(F)C([H])=C(Cl)C([H])=C1[H],1
4028,[H]N(N=C([H])C(=C([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H])C(=O)C1=NN([H])C(=C1[H])C1=C([H])C([H])=C(S1)C([H])([H])[H],0
6058,[H]N([H])C(=O)C1=C([H])C([H])=C(N([H])C(=O)C([H])([H])OC2=C([H])C([H])=C([H])C3=C2C([H])=C([H])C([H])=C3[H])C([H])=C1[H],0
4438,[H]N([H])S(=O)(=O)C1=C([H])C([H])=C(N([H])C(=O)C([H])=C([H])C2=C([H])C3=C(OC([H])([H])O3)C([H])=C2[H])C([H])=C1[H],0
1652,[H]N(C(=O)C1=NC2=C(C([H])=C([H])C([H])=C2[H])C([H])=C1[H])C1=C([H])C(=C([H])C([H])=C1[H])C1=NN2C(=NN=C2C2=C([H])C([H])=NC([H])=C2[H])C([H])=C1[H],0
1976,[H]OC([H])(C([H])([H])N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])[H])C([H])([H])N1C2=C(C([H])=C([H])C([H])=C2[H])C(=C1C([H])([H])[H])C([H])([H])[H],0
