ID,SMILES,T.cruzi
703,[H]N([H])C1=C([H])C(=C([H])C(=N1)C1=NC(N([H])[H])=C([H])C(=C1[H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],1
3577,[H]N(C(=O)C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1=NC2=C(C([H])=N1)C([H])([H])C([H])([H])C1=C2C([H])=C([H])C([H])=C1[H],0
6124,[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])S(=O)(=O)N([H])C1=C([H])C(=C([H])C([H])=C1[H])C([H])([H])[H])C([H])([H])C1(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0
3538,[H]N(N=C([H])C1=C(OC([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C([H])C2=C1C([H])=C([H])C([H])=C2[H])C(=O)C([H])(N([H])C(=O)C([H])([H])OC1=C([H])C(=C([H])C([H])=C1[H])C([H])([H])[H])C([H])([H])[H],0
3612,[H]OC(=O)C([H])([H])C([H])([H])C1=C([H])C([H])=C(N1N([H])C(=S)N([H])[H])C1=C([H])C([H])=C(Br)C([H])=C1[H],0
2756,[H]N(C(=O)C([H])([H])C([H])([H])N([H])S(=O)(=O)C1=C([H])C2=C(C([H])=C1[H])N(C(=O)N(C2=O)C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],0
6129,[H]N(C(=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],0
4691,[H]OC1=C([H])C([H])=C(N([H])C(=O)C2=C([H])C(OC([H])([H])[H])=C(C([H])=C2OC([H])([H])[H])C(=O)C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],0
4275,[H]N(C(=O)C([H])([H])OC1=C([H])C([H])=C(C([H])=C1[H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0
1300,[H]C1=C([H])C([H])=C([H])C(=N1)C([H])([H])N(C(=O)C([H])([H])C([H])([H])C([H])([H])[H])C1=NC2=C(S1)C([H])=C([H])C([H])=C2[H],1
545,[H]OC(C1=C([H])N=C(OC([H])([H])C2([H])C([H])([H])C2([H])[H])N=C1[H])(C1=C([H])N=C([H])C([H])=C1[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],1
5222,[H]N1C(=O)N(C(=O)C(=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])O2)C1=O)C1=C([H])C(=C([H])C([H])=C1[H])C([H])([H])[H],0
3103,[H]N1C2=NN=NN2C([H])(C([H])=C1C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H],0
532,[H]C1=NC([H])=C(C([H])=C1[H])C1([H])N(C([H])([H])C([H])([H])OC2=C(Cl)C([H])=C(Cl)C([H])=C2[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],1
1086,[H]N1C(=O)N(C2=C1N=C([H])C([H])=C2[H])C1([H])C([H])([H])C([H])([H])N(C(=O)C2(C(=O)N3C([H])([H])C([H])([H])C4=C(C([H])=C([H])C([H])=C4[H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H],1
5498,[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C1([H])N(C([H])([H])C([H])([H])C([H])([H])C2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C([H])([H])C([H])([H])N([H])C1([H])[H],0
1522,[H]N(C(=O)C([H])([H])C1=C([H])C([H])=C([H])C2=C1C([H])=C([H])C([H])=C2[H])C1=C2C(=NO1)C([H])([H])C([H])([H])C2([H])[H],1
5381,[H]C1=C(Br)C(=NN1C([H])([H])[H])C1=C([H])C(=C([H])C([H])=C1[H])N1C(=O)C([H])([H])C([H])([H])C([H])([H])C1=O,0
2529,[H]N(C(=O)C([H])(OC(=O)C1=C([H])C([H])=C([H])O1)C([H])([H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])O1,0
3564,[H]N(N([H])C(=O)C([H])([H])N1N=C(C([H])=C1C([H])([H])[H])C([H])([H])[H])C(=S)N([H])C([H])([H])C([H])([H])[H],0
5390,[H]OC(=O)C1=C([H])C(=NN1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],0
5911,[H]N(C(=O)C1=C(N=NS1)C([H])([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N1C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C1([H])[H],0
1553,[H]N([H])C(=O)C1=C(SC([H])=C1[H])N([H])C(=O)C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],1
6001,[H]N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N(C1=NC2=C(S1)C([H])=C([H])C([H])=C2C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],0
6023,[H]N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N(C1=NC2=C(S1)C([H])=C(OC([H])([H])[H])C([H])=C2[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],0
