ID,SMILES,Tb.brucei
348,CC1=CC(C)=C(OC2=NC(NCCCCCNC3=NC(NC4=CC=C(C=C4)C#N)=NC(OC4=C(C)C=C(C)C=C4C)=N3)=NC(NC3=CC=C(C=C3)C#N)=N2)C(C)=C1,1
610,[O-][N+](=O)C1=NN(CCCNS(=O)(=O)C2=C(Cl)SC(Cl)=C2)C=N1,1
1106,CSC1=CC=C2N=C(SC2=C1)N(CC1=CC=CN=C1)C(=O)C1=CC=C(C=C1)C(=O)C1=CC=CC=C1,0
1047,CCC(SC1=CC=C(NC(=O)C2=CC=CC(F)=C2)N=N1)C(=O)OC,0
884,[O-][N+](=O)C1=NN(CCCNC(=O)C2=CC=C3C=CC=CC3=N2)C=N1,0
404,NC(=N)C1=CC=C(CC2=CC=C(O2)C2=CC=C(C=N2)C(N)=N)C=C1,1
371,CCOC1=CC=C(OCC2=CC=C(C=C2)C(=O)N(C(C)C)C(C)C)C=C1,1
942,CCOC1=CC=C(OCC2=CC=C(C=C2)C(=O)NC(C)C)C=C1,0
944,CCOC1=CC=C(OCC2=CC=C(C=C2)C(O)=O)C=C1,0
1270,CC1=CC=C(SCC(=O)NC2=CC=CC=C2C2=NC3=CC=CC=C3N2)C=C1,0
1145,CCOC(=O)C1=C(C)N=C(NC2=NC3=C(F)C=CC=C3S2)S1,0
1290,CC1=CC=C(NC(=O)C2=C(NC(=O)CC(C3=CC=CC=C3)C3=CC=CC=C3)C3=CC=CC=C3O2)C=C1C,0
125,COC1=CC=CC=C1NC(=O)NC1=CC=C2N=C(OC3=CC=C(F)C=C3C(C)O)C(CC3=CC=CC=C3)=CC2=C1,1
98,COC1=CC=CC(NC(=O)NC2=CC=C3N=C(OC4=CC=C(F)C=C4C(C)O)C(CC4=CC=CC=C4)=CC3=C2)=C1,1
93,CC(O)C1=CC(F)=CC=C1OC1=NC2=CC=C(NC(=O)NC3=CC=CC(=C3)[N+]([O-])=O)C=C2C=C1CC1=CC=CC=C1,1
881,[O-][N+](=O)C1=NN(CCCNC(=O)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C=N1,0
883,[O-][N+](=O)C1=NN(CCCNC(=O)C2=CC=CC(=C2)C(F)(F)F)C=N1,0
641,COC1=CC=C(C=C1)C(C)=NNC(N)=S,0
49,CCCCCCOC(=O)OCCC1=CC=C(O)C(O)=C1,1
50,OCCCCCCOC(=O)OCCC1=CC=C(O)C(O)=C1,1
52,CCCCCCCCCOC(=O)OCCC1=CC=C(O)C(O)=C1,1
53,CCCCCCCCOC(=O)OCCC1=CC=C(O)C(O)=C1,1
56,CCCCCCCCCCCCCCCCOC(=O)OCCC1=CC=C(O)C(O)=C1,1
57,CCCCCCCCCCCCOC(=O)OCCC1=CC=C(O)C(O)=C1,1
58,OCCOC(=O)OCCC1=CC=C(O)C(O)=C1,1
59,OCCCCCCCCOC(=O)OCCC1=CC=C(O)C(O)=C1,1
63,CCCCCCCCCCCCCCOC(=O)OCCC1=CC=C(O)C(O)=C1,1
960,[O-][N+](=O)C1=CC=CC=C1,0
65,CCOC(=O)OCCC1=CC=C(O)C(O)=C1,1
961,CC(=O)NC1=CC=CC=C1[N+]([O-])=O,0
69,CCCCOC(=O)OCCC1=CC=C(O)C(O)=C1,1
840,OCCCCOC(=O)OCCC1=CC=C(O)C(O)=C1,0
717,CC(C)=CCCC(C)=CCCC(C)=CCOC(=O)C=CC1=CC=C(O)C(O)=C1,1
207,NC(CCC(=O)NC(CSC(=O)C1=CC=C(Br)C=C1)C(=O)NCC(O)=O)C(O)=O,0
615,COC1=CC=C(C=NNC(N)=S)C=C1,0
616,CC(=NNC(N)=S)C1=CC=CC=C1Cl,0
618,CC(=NNC(N)=S)C1=CC=CC=C1,0
619,NC(=S)NN=CC1=CC=CC(Br)=C1,0
620,CC(=NNC(N)=S)C1=CC=C(Br)C=C1,0
623,NC(=S)NN=CC1=CC=C(Cl)C=C1,0
624,NC(=S)NN=CC1=CC=CC(Cl)=C1,0
625,NC(=S)NN=CCCC1=CC=CC=C1,0
626,NC(=S)NN=CC1=CC=CC=C1,0
627,CN(C)C1=CC=C(C=CC=NNC(N)=S)C=C1,0
372,CCOC1=CC=C(OCCCCCC(=O)N(C(C)C)C(C)C)C=C1,1
628,NC(=S)NN=CC1=CC(Cl)=CC=C1O,0
629,CC1=CC=CC=C1C=NNC(N)=S,0
630,NC(=S)NN=CC1=CC=CC=C1Cl,0
631,CC1=CC=C(C=NNC(N)=S)C=C1,0
634,COC1=CC(C=NNC(N)=S)=CC=C1O,0
635,CCC(=NNC(N)=S)C1=CC=C(OC)C=C1,0
636,CC(=NN=C(N)S)C1=CC=C(Cl)C=C1,0
637,NC(=S)NN=CC=CC1=CC=CC=C1,0
639,NC(=S)NN=CC1=CC=CC=C1O,0
640,CC(=NNC(N)=S)C1=CC=CC(Br)=C1,0
110,CCCC(=O)ON=C1C2=CC=CC=C2C2=C1C(=NC1=CC=C(Br)C=C21)N1C=CN=C1,1
1254,COC1=CC=C(C=C1)S(=O)(=O)N1CCN(CC1)C1=CC=C(NC2=CC=CC=N2)N=N1,0
1192,CCC1=CC=C(C=C1)S(=O)(=O)N1CCN(CC1)C1=CC=C(NC2=CC=CC=N2)N=N1,0
1029,COC1=CC=CC=C1C(=O)N1CCN(CC1)C1=NC=CN1C1=CC=CC=C1F,0
734,COC1=CC(=CC(OC)=C1)C(=O)N1CCN(CC1)C1=NC=CN1C1=CC=CC(Cl)=C1,0
803,COC1=CC=C2N=C(SC2=C1)N(CCCN(C)C)C(=O)CCCSC1=CC=CC=C1,1
394,OC1=CC=C(C=CC(=O)C2=CC=C(O)C=C2O)C=C1,0
645,COC1=C(C)C(O)=C(C)C(O)=C1C(=O)C=CC1=CC=CC=C1O,0
647,COC1=C(C)C(O)=C(C)C(O)=C1C(=O)C=CC1=CC=CC=C1,0
698,OB1OCC2=CC=C(C=C12)N1C=CC(=C1)C(=O)CCCN1C(=O)C2=CC=CC=C2C1=O,1
1244,CC1=C(CSC2=NC(O)=CC(=N2)C(F)(F)F)N=C(O1)C1=CC=C(C)C=C1,0
768,COC1=NN(C)C=C1C1=NN=C(SCC(=O)N2CCC(CC3=CC=CC=C3)CC2)N1C,1
1066,CC1=CC=C(CN2C(CO)=CN=C2SCC(=O)NC2=CC=CC3=CC=CC=C23)C=C1,0
1172,COC1=CC=C(C(=O)C2C(C)=NN(C2=O)C2=CC=CC=C2)C(OC)=C1,0
1247,COC1=CC=C(C=C1OC)C1=CC=C(N=N1)N1CCN(CC1)C(=O)C1=C(F)C=CC=C1F,0
1021,CC1=C2CCC=C3C(=O)OCC23CCC2=C1C(OC2=O)C1=COC=C1,0
1122,FC1=CC=C(NC2=NC(CC(=O)N3CCN(CC3)C3=NC=CC=N3)=CS2)C=C1,0
550,COC1=CC=C(C=C1OCC1=CC=CC=N1)C1=NN(C2CCCCCC2)C(=O)C1(C)C,1
1083,COC1=CC=C(C=C1)C1=NN=C(NC(=O)C2=CC=CC(=C2)C(F)(F)F)O1,0
783,CC1=CC=C(C2=NN=C(NC(=O)C3=CC=C(C=C3)S(=O)(=O)N(CC=C)CC=C)O2)C(C)=C1,1
418,CN1CCN(CC(=O)NC2=CC=C(NC(=O)C3=CC=C4C=CC=CC4=C3)C=C2C(=O)C2=CC=CC=C2)CC1,1
1283,O=C(NC1=CC=C2CCN(C(=O)C3=CC=CS3)C2=C1)C1=CC2=CC=CC=C2OC1=O,0
221,[O-][N+](=O)C1=NN(CCCNS(=O)(=O)C2=CC=C(Cl)S2)C=N1,1
1092,CN1N=C(C=C1C)C(=O)NC1=NN=C(O1)C1=CC=C(Br)S1,0
