ID,SMILES,Tb.rhodesiense
946,C1CCN(C1)C12CC(C(NCC1)C(C2)C1=CC=CC=C1)C1=CC=CC=C1,1.0
2244,OC1=CC=CC=C1C(=O)NC(=O)C1=CC=C(C=C1)[N+]([O-])=O,0.0
2023,CCOP(=O)(CC(=O)OCC1OC(CC1O)N1C=CC(=O)NC1=O)OCC,0.0
1065,CN(C)C12CC(C(CN(CCN3CCCC3)C1)C(C2)C1=CC=CC=C1)C1=CC=CC=C1,1.0
307,NC(=N)C1=CC=C(C=C1)C1=CC(=CC(O)=C1)C1=CC=C(C=C1)C(N)=N,1.0
949,OC1CC2(CC(C1C(C2)C1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1,1.0
1625,O=C(NCCC1=NC(=CS1)C1=CC=CC=C1)C1CCCCC1,1.0
1459,CC1=CC(C)=C(OC2=NC(NCCCNC3=NC(NC4=CC=C(C=C4)C#N)=NC(OC4=C(C)C=C(C)C=C4C)=N3)=NC(NC3=CC=C(C=C3)C#N)=N2)C(C)=C1,1.0
256,COC1=CC(CC(=O)NCCCCNCCCNC(=O)CC2=CC=C(O)C(OC)=C2)=CC=C1O,0.0
2232,CCCCCCCCCCC1(C)SC(=O)C(CCC)=C1OCC1=CC=CC=C1,0.0
962,OC1CC2(CC(C1C(C2)C1=CC=CC=C1)C1=CC=CC=C1)N1CCCCC1,1.0
109,[O-][N+](=O)C1=CN(C=N1)C1=CC(=CC=C1)[N+]([O-])=O,1.0
922,NC1CC2(CC(C1C(C2)C1=CC=CC=C1)C1=CC=CC=C1)N1CCCCC1,1.0
1835,BrC1=CC=C(C=C1)C(=O)C1=CC=C(Br)C=C1,0.0
1247,OC(=O)CC(N1CSC(=S)N(CCCCCCN2CN(CSC2=S)C(CC(O)=O)C(O)=O)C1)C(O)=O,1.0
549,[O-][N+](=O)C1=NN(CCCNC2=CC=NC3=CC=CN=C23)C=N1,1.0
102,CNC(CC(C)C)C(=O)N(C)C(CC1=CC=CC=C1)C(=O)NCCC1=CC=CC=C1,0.0
66,CC1=CSC(=C1)C(=O)NCCCN1C=NC(=N1)[N+]([O-])=O,1.0
1615,ClC1=CC=C(C=C1)C1=CSC(CCNC(=O)C2=CC=CC=C2)=N1,0.0
508,CC1=CC=C(NC2=NC(N)=NC(NC3=CC=C(C=C3)C#N)=N2)C(C)=N1,0.0
1475,CC(C)(C)C1=CC=C(C=C1)C(=N)NC1=CC=C(OC2=CC(OC3=CC=C(NC(=N)C4=CC=C(C=C4)C(C)(C)C)C=C3)=CC=C2)C=C1,1.0
726,CC(=O)OC1=CC=C2N(CC3=CC=C(F)C(F)=C3)C(C)(C)C=C(C)C2=C1,1.0
1936,CCCCCCCCCCC1(C)SC(=O)C(CCC)(CC=C)C1=O,1.0
2236,OC1CC(OC1CNP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1)N1C=CC(=O)NC1=O,0.0
739,CCOC1=CC=C(NCC2=CC=C(C=C2)C(=O)N(C)C2=CC=CC=C2)C=C1,1.0
1403,NC(=N)C1=CC=CC(OCC2=CC=CC=C2)=C1,1.0
308,CCOC(=O)N=C(NC(C)C)NC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(NC(NC(C)C)=NC(=O)OCC)C=C1,0.0
2036,COC(=O)C1OC(OC2CCC3(C)C(CCC4C5C(=O)C(O)=C(C(C)CC(=O)CC(C)C)C5(C)CCC34)C2)C(O)C(O)C1O,0.0
1532,NC(=N)C1=CC=C(C=C1)C1=CN=C(C=N1)C1=CC=C(C=C1)C(N)=N,1.0
1131,[O-][N+](=O)C1=NN(CCNS(=O)(=O)CC2=CC=CC=C2)C=N1,1.0
2188,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2C(O)=O)C(N)=N)C(=C1)C(O)=O,0.0
1372,NC(=N)C1=CC(OCC2=CC(=CC=C2)C(N)=N)=CC=C1,1.0
791,CNC1=NC(=NC2=C1N=CN2C1OC(CSC)C(O)C1O)C#N,0.0
1439,CC1=CC(Br)=CC(C)=C1OC1=NC(NCCNC2=NC(NC3=CC=C(C=C3)C#N)=NC(OC3=C(C)C=C(Br)C=C3C)=N2)=NC(NC2=CC=C(C=C2)C#N)=N1,1.0
149,CN1C2NC3=CC=CC=C3C2C(NCCCNC(=S)NC2=CC=CC=C2)C2=CC=CC=C12,1.0
1121,[O-][N+](=O)C1=NN(CCCCNS(=O)(=O)C2=CC=C(C=C2)C(F)(F)F)C=N1,1.0
