ID,SMILES,Tb.rhodesiense
2116,[O-][N+](=O)C1=CC(Cl)=CC=C1SC1=CC=CC=C1,0
2120,CCCC(=O)NC1=CC(Cl)=CC=C1SC1=CC=CC=C1,0
2122,NC1=CC(Cl)=CC=C1SC1=CC=CC=C1,0
2123,CCC(=O)NC1=CC(Cl)=CC=C1SC1=CC=CC=C1,0
1213,NC(=N)NC1=CC=C(SC2=CC=C(NC(N)=N)C=C2)C=C1,1
1204,C1CN=C(NC2=CC=C(OC3=CC=C(NC4=NCCN4)C=C3)C=C2)N1,1
1971,NC1=NC(NN=CC2=CC=CS2)=NC(N)=N1,0
1972,NC1=NC(NN=CC2=CC=C(S2)[N+]([O-])=O)=NC(N)=N1,1
633,C(CCCCOC1=CC=CC(=C1)C1=NC2=CC=CC=C2N1)CCCOC1=CC(=CC=C1)C1=NC2=CC=CC=C2N1,1
1025,OCC1OC(C(O)C1O)N1C=NC2=C1N=CN=C2NCCOCCNC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,0
2078,C1CN2CCC1C(=C2)C1=CC2=CC=CC=C2S1,1
211,NC(=N)C1=CC=C(O1)C1=CC=C(O1)C1=CC2=CC=C(C=C2N1)C(N)=N,1
1506,O=C(NCC1=CC=C(C=C1)C1=NCCN1)C1=CC(=CC=C1)C(=O)NCC1=CC=C(C=C1)C1=NCCN1,0
1208,C1CN=C(NC2=CC=C(C=C2)N2CCN(CC2)C2=CC=C(NC3=NCCN3)C=C2)N1,1
1079,CN(C)C12CC(C(C(C1)C1=CC=CC=C1)N(CCN1CCCCC1)CC2)C1=CC=CC=C1,1
2108,CC1OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C(O)=C2)C(O)C(O)C1O,0
657,FC1=CC(F)=C2OCC#CCOC3=CC=C(CC(NC(=O)C2=C1)C(=O)NC1(CC1)C#N)C=C3Cl,1
872,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=N2)C(N)=N)N=C1,1
878,NC(=N)C1=CC=CC(OCCCCCOC2=CC=CC(=N2)C(N)=N)=N1,1
879,CON=C(N)C1=CC=C(OCCCCCOC2=CC=C(C=N2)C(N)=NOC)N=C1,0
880,NC(=NO)C1=CC=CC(OCCCCCOC2=CC=CC(=N2)C(N)=NO)=N1,0
885,NC(=NO)C1=CC=C(OCCCCCOC2=CC=C(C=N2)C(N)=NO)N=C1,0
887,CC(C)NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=N2)C(=N)NC(C)C)N=C1,1
498,CC1=CC=C(NC2=NC(Cl)=NC(NC3=CC=C(C=C3)C#N)=N2)C(C)=N1,1
508,CC1=CC=C(NC2=NC(N)=NC(NC3=CC=C(C=C3)C#N)=N2)C(C)=N1,0
522,CN(C1=NC(N)=NC(NC2=CC=C(C=C2)C#N)=N1)C1=CC=C(C)N=C1C,0
1103,CC1C2C(CC1=O)C(=C)CC(OC(=O)C(CO)=CCO)C1C2OC(=O)C1=C,1
287,ClC1=CC(=CC(=C1)C1=CC(NC(=N)C2=CC=CC=N2)=CC=C1)C1=CC=CC(NC(=N)C2=CC=CC=N2)=C1,1
1861,CC(C)(C)OC(=O)N1CCN(C(=O)OC(C)(C)C)C1=NC1=CC=C(CC2=CC=C(C=C2)N=C2N(CCN2C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)C=C1,0
1773,ClC1=CC=C(COC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,0
1728,ClC1=CC=C(COC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C(Cl)=C1,0
1719,[O-][N+](=O)C1=NC=CN1CC(=O)C1=CC=C(C=C1)C1=CC=CC=C1,0
586,C(CCCOC1=CC=CC(=C1)C1=CC2=CC=C(C=C2O1)C1=NCCN1)CCOC1=CC=CC=C1,1
1805,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,0
779,CC(=O)OC1C(CN2C(=O)C3=CC=CC=C3C2=O)OC(C1OC(C)=O)N1C=NC2=C(N)N=C(F)N=C12,0
813,CC(=O)OC1C(CN2C(=O)C3=CC=CC=C3C2=O)OC(C1OC(C)=O)N1C=NC2=C(N)N=C(Cl)N=C12,0
416,COC1=CC(=O)OC(=C1)C1C(C(C1C1=CC=C(OC)C(OC)=C1)C1=CC(OC)=CC(=O)O1)C1=CC=C(OC)C(OC)=C1,1
1732,OC(C1CCCCN1)C1=CC(=NC2=C(C=CC=C12)C(F)(F)F)C(F)(F)F,1
92,OC1=CC=C(CC2=NC3=CC=CC=C3C3=C2NC=C3)C=C1,0
96,C(C1=CC=CC=C1)C1=NC2=CC=CC=C2C2=C1NC=C2,0
1512,O=C(NCC1=CC=CC=C1)C1=CC=C(C=C1)C1=CC2=CC=C(C=C2N1)C1=NCCN1,1
2181,CC(C)C12CCC3(C)C4CCC5C6(C)CCC(=O)C(C)(C)C6CCC5(C)C4(C)CCC13O2,0
1064,CN(C)C12CC(NC(=O)CN3CCCCC3)C(C(C1)C1=CC=CC=C1)C(C2)C1=CC=CC=C1,1
1838,C(CNC1=NCCN1)NCCNC1=NCCN1,0
207,NC(=N)C1=CC=C(O1)C1=CC=C(S1)C1=CC2=CC=C(C=C2N1)C(N)=N,1
658,FC(F)(F)OC1=CC=C(CC(NC(=O)C2=NN(N=C2)C2=CC=NC=C2)C(=O)NC2(CC2)C#N)C=C1Cl,1
678,FC1=CC=C(C=C1)N1N=CC(=N1)C(=O)NC(CC1=CC=C(C#N)C(Cl)=C1)C(=O)NC1(CC1)C#N,1
687,FC1=CC=C(C=C1)N1N=CC(=N1)C(=O)NC(CC1=CC=C(Cl)C=C1)C(=O)NC1(CC1)C#N,1
655,COCCOC1=CC=C(CC(NC(=O)C2=NN(N=C2)C2=CC=C(F)C=C2)C(=O)NC2(CC2)C#N)C=C1Cl,1
689,FC(F)(F)OC1=CC=C(CC(NC(=O)C2=NN(N=C2)C2=CC=CC=C2)C(=O)NC2(CC2)C#N)C=C1Cl,1
662,FC1=CC=C(C=C1)N1N=CC(=N1)C(=O)NC(CC1=CC=C(OC(F)(F)F)C(Cl)=C1)C(=O)NC1(CC1)C#N,1
663,FC1=CC=C(C=C1)N1N=CC(=N1)C(=O)NC(CC1=CC=C(Cl)C(Cl)=C1)C(=O)NC1(CC1)C#N,1
696,CSC1=CC=C(C=C1)N1N=CC(=N1)C(=O)NC(CC1=CC=C(OC(F)(F)F)C(Cl)=C1)C(=O)NC1(CC1)C#N,1
702,FC(F)(F)OC1=CC=C(CC(NC(=O)C2=NN(N=C2)C2=CC=C(Cl)C=C2)C(=O)NC2(CC2)C#N)C=C1Cl,1
703,FC(F)(F)OC1=CC=C(CC(NC(=O)C2=NN(N=C2)C2=CC=C(Br)C=C2)C(=O)NC2(CC2)C#N)C=C1Cl,1
2015,OC1CC(OC1COC(=O)C1=CC=CC=C1)N1C=CC(=O)NC1=O,0
1338,N=C(NC1CCCC1)C1=CC=C(C=C1)C1=CC=C(O1)C1=CC=C(C=C1)C(=N)NC1CCCC1,1
1775,CCCC1(CCC2=CC=CC=C2)CC(=O)C(C(CC)C2=CC=CC(NS(=O)(=O)C3=CC=C(C=N3)C(F)(F)F)=C2)=C(O)O1,0
1804,CC(C)(C)NC(=O)C1CN(CC2=CC=CN=C2)CCN1CC(O)CC(CC1=CC=CC=C1)C(=O)NC1C(O)CC2=CC=CC=C12,0
246,COC1=CC(C)=C(C2=CC=CC(OC)=C12)C1=C(O)C2=C(CC(C)N=C2C)C=C1OC,0
1897,NC(=NO)C1=CC=C(C=N1)C1=CC=C(O1)C1=CC=C(C=C1)C(=N)NO,0
1898,CONC(=N)C1=CC=C(C=C1)C1=CC=C(O1)C1=CC=C(N=C1)C(=N)NOC,1
