ID,SMILES,T.cruzi,Tb.brucei,Tb.rhodesiense
4735,[H]OC(C1=C([H])N=C([H])C([H])=C1[H])(C1=C([H])C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C1[H])C1=C(F)C([H])=C(Cl)C([H])=C1[H],1.0,,
1386,CC1=NC(=CN1CCCNC(=O)C1=C(Cl)C2=CC=CC=C2S1)[N+]([O-])=O,,,0.0
1939,COC1=CC=CC2=C1C(=O)C=C(OC1=CC=C(F)C=C1)C2=O,,,1.0
6998,[H]N(C(=O)C1=C([H])C2=C(C([H])=C1[H])C(=O)N(C(=O)N2C([H])([H])C1=C(C([H])=C([H])C([H])=C1[H])C([H])([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])O1,0.0,,
7575,[H]OC(=O)C1=C(N([H])C(=O)N([H])C2=C([H])C(Cl)=C(Cl)C([H])=C2[H])C([H])=C([H])C([H])=C1[H],0.0,,
8359,[H]N(C1=NC([H])=C([H])S1)S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])N1C(=S)SC(=C([H])C2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C2[H])C1=O,0.0,,
7291,[H]N(C(=O)C([H])=C([H])C1=C([H])C([H])=C(Br)C([H])=C1[H])C1=NOC(=C1[H])C([H])([H])[H],0.0,,
6658,[H]N(C(=O)C([H])([H])SC([H])([H])C1=C([H])C([H])=C(Cl)C([H])=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0.0,,
6492,[H]N(C(=O)C1([H])C([H])([H])N(C(=O)C1([H])[H])C1=C([H])C([H])=C2C3=C1C([H])=C([H])C([H])=C3C([H])([H])C2([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H],0.0,,
4559,[H]C1=C([H])C(F)=C(C(F)=C1[H])C([H])([H])N(C1([H])C([H])([H])N(C#N)C([H])([H])C1([H])[H])S(=O)(=O)C1=C(OC([H])([H])[H])C([H])=C([H])C(OC([H])([H])[H])=C1[H],1.0,,
1649,NC(=N)C1=CC(OCCCCCOC2=CC(=CC=C2)C(N)=N)=CC=C1,,,1.0
1092,OB1OCC2=CC=C(C=C12)N1C=CC(=C1)C(=O)C1=CC=CC=C1,,1.0,
188,O=C(NC1=CC2=CC=CC=C2C=C1NC(=O)C1=CC=C2OCCOC2=C1)C1=CC=C2OCCOC2=C1,0.0,0.0,
3062,CC(C)(C)[Si](OCC1OC(CC1F)N1C=CC(=O)NC1=O)(C1=CC=CC=C1)C1=CC=CC=C1,,,0.0
333,O=C(COC1=CC=CC=C1)OC1=CC=C2N=C(SC2=C1)N1CCN(CC1)C1=CC=CC=C1,0.0,0.0,
1147,CCCC(=O)OC1=CC2=C(C)C3=C(C=CC22COC(=O)C2C1)C(=O)OC3C1=COC=C1,,1.0,
5066,[H]N1C([H])=C(C(=O)OC([H])([H])C([H])([H])[H])C(=O)C2=C1C(=C([H])C([H])=C2[H])C([H])([H])C([H])([H])[H],0.0,,
4063,[H]N(C1([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])(C1=NC([H])=C([H])N=C1[H])C1=C(F)C([H])=C(F)C([H])=C1[H])S(=O)(=O)C([H])([H])C([H])([H])[H],1.0,,
4602,[H]N(C(=O)C1=C([H])C(=NC2=C1C([H])=C(Cl)C([H])=C2[H])C1=C([H])C([H])=NC([H])=C1[H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C1([H])[H],1.0,,
6212,[H]N([H])C1=C(C([H])=NN1C([H])([H])[H])C1=NN=C(N1C([H])([H])C1=C(F)C([H])=C([H])C([H])=C1[H])C([H])([H])[H],0.0,,
6167,[H]N(\N=C(\C1=C([H])C([H])=C([H])C2=C1C([H])=C([H])C([H])=C2[H])C([H])([H])[H])C(=O)C([H])([H])C1=C([H])C([H])=C([H])N1C([H])([H])[H],0.0,,
3634,[H]C1=NC([H])=C(C([H])=C1[H])C([H])(N1C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],1.0,,
217,O=S(=O)(N1CCN(CC1)C1=CC=C(NC2=CC=NC=C2)N=N1)C1=CC=CC=C1,0.0,0.0,
5600,[H]C1=C([H])S(=O)(=O)C([H])([H])C1([H])N(C(=O)C1([H])OC([H])([H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C([H])C(Cl)=C1[H],0.0,,
177,FC1=CC(F)=C2N=C(NC(=O)C3=NC4=CC=CC=C4S3)SC2=C1,0.0,0.0,
5055,[H]N(C(=O)C([H])([H])N1C([H])([H])C([H])([H])N(C(=O)C2=C([H])C([H])=C([H])O2)C([H])([H])C1([H])[H])C1=C(OC([H])([H])C([H])([H])[H])C([H])=C([H])C([H])=C1[H],0.0,,
7690,[H]N(C(=O)C([H])=C([H])C1=C([H])C([H])=C(Cl)C([H])=C1[H])C(=S)N([H])C1=C([H])C([H])=C(N([H])C(=O)C([H])([H])[H])C([H])=C1[H],0.0,,
3544,[H]N(C([H])(C1=C([H])N(N=C1[H])C([H])([H])C([H])([H])[H])C1=C([H])N=C([H])C([H])=C1[H])C1([H])C([H])([H])C([H])([H])N(C2=C([H])C([H])=C(OC(F)(F)F)C([H])=C2[H])C([H])([H])C1([H])[H],1.0,,
3451,[H]N(C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])([H])[H])C([H])([H])[H])C1=C([H])C(=NC2=C1C([H])=C(OC([H])([H])C([H])([H])[H])C([H])=C2[H])C([H])([H])[H],0.0,,
2726,O=C(NCCC1=NC(=CS1)C1=CC=CC=C1)C1=CC=NC=C1,,,0.0
8225,[H]N(N=C([H])C1=C([H])C(=C(OC([H])([H])[H])C([H])=C1[H])C([H])([H])OC1=C([H])C([H])=C(N([H])C(=O)C([H])([H])[H])C([H])=C1[H])C(=O)C1=C([H])C([H])=NC([H])=C1[H],0.0,,
1735,[O-][N+](=O)C1=NC=CN1CCCNC1=CC=NC2=CC(Cl)=CC=C12,,,1.0
2114,O=C(OC1CC2(CC(C1C(C2)C1=CC=CC=C1)C1=CC=CC=C1)N1CCCCC1)C1=CC2=C(OCO2)C=C1,,,1.0
1933,FC1=CC=C(OC2=CC(=O)C3=CC4=CC=CC=C4C=C3C2=O)C=C1,,,1.0
1549,COC1=CC(CC(=O)NCCN2CCOCC2)=CC=C1O,,,0.0
325,O=C(CC1=CSC(NC(=O)C2=CC=CNC2=O)=N1)NC1=CC=C2OCCOC2=C1,0.0,0.0,
7871,[H]OC1=C2C(SC([H])=C2C2=C([H])C([H])=C(C([H])=C2[H])C([H])([H])[H])=NC([H])=N1,0.0,,
1431,[O-][N+](=O)C1=CN(C=N1)C1=CC=CC(Cl)=C1,,,1.0
926,CN1CCN(CC1)C(C(=O)NC1=CC=C(NC(=O)C2=CC=CC3=CC=CC=C23)C=C1C(=O)C1=CC=CC=C1)C1=CC=CC=C1,,1.0,
2590,O=C(NC1CCC(CC1)NC(=O)C1=CC=C(C=C1)C1=NCCN1)C1=CC=C(C=C1)C1=NCCN1,,,1.0
6764,[H]C(=C([H])C1=C(F)C([H])=C([H])C([H])=C1[H])C(=O)C1=C(N=C2C(=C1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])[H],0.0,,
1369,NC(=N)C1=CC=C2NC(NC3=CC=CC=C3)=NC2=C1,,,0.0
5141,[H]N(C(=O)C1([H])N(C(=O)C([H])([H])C2=C([H])C([H])=C(F)C([H])=C2[H])C2=C(C([H])=C([H])C([H])=C2[H])C1([H])[H])C([H])([H])[H],0.0,,
933,CC1CCC2=C(NCCCCCCNC3=C4C=C(C=CC4=NC4=C3CCC(C)C4)[N+]([O-])=O)C3=CC(=CC=C3N=C2C1)[N+]([O-])=O,,1.0,
8388,[H]N([H])C1=C(C#CC2=NC([H])=C([H])N=C2[H])C([H])=C([H])C([H])=C1[H],0.0,,
408,[O-][N+](=O)C1=NN(CC(=O)NC2=CC=C(OC3=CC=C(Cl)C=C3)C=C2)C=N1,,1.0,1.0
1432,[O-][N+](=O)C1=CN(C=N1)C1=CC=C(F)C(F)=C1,,,1.0
3536,[H]N1C2=C(C([H])=C([H])C([H])=C2[H])C2=NC3=C(C([H])=C([H])C([H])=C3[H])N2C1(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H],0.0,,
3880,[H]C1=NC([H])=C(C([H])=N1)C([H])(N1C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])S(=O)(=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C(F)C([H])=C(Cl)C([H])=C1[H],1.0,,
