ID,SMILES,Tb_cruzi,Tb_rhodesiense,Tb.brucei
3735,NC(NC1C=CC(C(NC2C=CC=CC=2)=O)=CC=1)=N,,4.0584885673656,
2641,CN1CCN(CC(NC2C3C(C4C=CC=CC=4)CC(N4CCCCC4)(CC3C3C=CC=CC=3)C2)=O)CC1,,6.16115090926274,
1108,C1C=CC(C(C2C=CC(Cl)=CC=2)N2CCN(C(OCC)=O)CC2)=CN=1,7.23657200643706,,
1892,N(CCC1C2C=CC=CC=2NC=1)C1N=CN=C2C=1C=NN2,5.0573326154258,,
1170,NCC(N(CC1C=CC=NC=1)C1C=CC(C2SC3C=CC=CC=3N=2)=CC=1)=O,7.76955107862173,,
4232,CC1C(NC2N=C(NC3C=CC(C#N)=CC=3)N=C(N)N=2)=C(C)C=C(F)C=1,,,5.10237290870956
2035,N(C1C=CC(NS(C2C=CC3N=C(C)SC=3C=2)(=O)=O)=CC=1)C1N=C(NCC)C=C(C)N=1,6.05122895919363,,
668,N(C1CCN(S(C2CCCCC2)(=O)=O)CC1)C(C1C=CC(F)=CC=1F)C1C=NC=CN=1,6.3767507096021,,
2408,O=C(C1C=CC=C(C#N)C=1)NCCC1SC=C(C2C=CC=CC=2)N=1,,6.76700388960785,
4241,CC(C12CC3CC(C1)CC(C3)C2)=NN=C(S)N,,,5.07675598136972
4329,COC1C(C(C=CC2C=CC=CC=2)=O)=C(O)C(C)=C(O)C=1C,,,4.67537093593886
3608,OC1C(CC(NCCCNCCCCNCCCNC(CC2C(O)=CC=CC=2)=O)=O)=CC=CC=1,,4.29242982390206,
3513,CN1C=C(C2C=CC(Cl)=CC=2)C(C(C2C(Cl)=CC(Cl)=CC=2)N2C=NC=C2)=C1,,4.43806423668622,
2798,NC1C=CC(C2C=CC(N)=CC=2)=CC=1,,5.84771165561694,
971,N(C1CCN(C2C=CC(F)=C(C#N)C=2)CC1)C(C1C=CC(Cl)=CC=1F)C1C=CC=NC=1,7.68402965454308,,
2002,N(CCC1C2C(=CC=CC=2)NC=1)C(C1C2C(=CC=CC=2)NN=1)=O,4.56940059453806,,
1887,N(C1C=CC=NC=1)C1C=CC(N2CCN(S(C3C=C(C)C=CC=3OC)(=O)=O)CC2)=NN=1,5.05380265752137,,
622,C1C2C(=C(C(N3CCC3)=O)SC=2C(Cl)=C(OC)C=1)Cl,6.35000349253396,,
2588,CC(NC(C1C=C2C(OC(C3C=C(OCCCCOC4C=CC=CC=4)C=CC=3)=C2)=CC=1)=N)C,,6.27002571430044,
2410,NC(C1C=C(N2N=NC(C3C(O)=CC=C(C(=N)N)C=3)=C2)C=CC=1)=N,,6.7594507517174,
1728,NC(C1C=CC=CC=1NC1N=C(NC2CCC(NS(C)(=O)=O)CC2)N=CC=1Br)=O,5.1000001283342,,
1581,N(C1NC(C2C=CC=CN=2)=NN=1)C(CC1C=CC2CCCC=2C=1)=O,5.0,,
717,N(C1C=C(S(NC2C=CC(OC)=CC=2)(=O)=O)C=CC=1)C(C1C=C(F)C=C(F)C=1)=O,6.09999903484653,,
2212,CC(NC(C1C=CC(OCCCCCOC2C=CC(C(NC(C)C)=N)=CC=2)=CC=1)=N)C,,7.56863623584101,
1073,N(C)C1OC(C2C=CC=CC=2)C(=O)C=1C1C=CC=C(C(F)(F)F)C=1,4.25570701687732,,
3530,CC(=CCOC1C(Cl)=CC=C(NC(C2C=COC=2C)=S)C=1)C,,4.4145392704915,
701,N(C1CCN(C(C2C=CC(C#N)=CC=2)C2C=CC=NC=2)CC1)C(N(CC)CC)=O,7.55284196865778,,
1957,N(C(CCCCC)C)CC1N=C(C2C=CC(C)=CC=2)OC=1,4.26110368799465,,
2467,CC(C1C=CC(CN2C(C)(C)C=C(C)C3C2=CC=C(C=3)OC(=O)C)=CC=1)C,,6.55284196865778,
2248,NC(C1C=C(Cl)C(OCCCCOC2C(Cl)=CC(C(=N)N)=CC=2)=CC=1)=N,,7.3767507096021,
2855,O=C(C1C=CC=CC=1)NCCC1SC=C(C2C=CC=C(C#N)C=2)N=1,,5.72124639904717,
357,N(C1CCN(C(C2C=CC=CC=2)=O)CC1)C(C1C=CC(C(F)(F)F)=CC=1)C1C=CC=NC=1,7.08092190762393,,
328,N=C1C(C(NCC2C=CC(OC)=CC=2)=O)=CC2C(N3C(=NC=2N1CCC1C=CC=CC=1)C=CC=C3)=O,5.30874606263941,,
2993,CCN(CCCC(NC1C2C(=CC(=CC=2)Cl)N=CC=1)C)CC,,5.41907502432438,
590,OC(C(C)N1CCC(N(C2C=CC(C(F)(F)F)=CC=2)C2C=CC=NC=2)CC1)C,7.1249387366083,,
1223,N1C=C(CN(C2C=CC(C3SC4C=CC=CC=4N=3)=CC=2)C(C)=O)N=C1,7.86966623150499,,
541,OC(CN1CCC(NC(C2C=CC(Cl)=CC=2)C2C=CC=NC=2)CC1)(C)C,6.24795155218056,,
3975,CCOC(C1SC(SC(C)C)=C(C#N)C=1C1C=C(O)C(O)=CC=1)=O,,,6.58502665202918
361,N(C1CC1)C1N=C(C2C=CC=CN=2)N=C(C(C)(C)C)C=1,5.89999841719865,,
4259,COC1C(OCC2C3C(=CC=CC=3)C=CC=2)=CC(C2C(C)(C)C(=O)N(C(C)C)N=2)=CC=1,,,5.01772876696043
2200,O=C(C1C=CC(C2NC3C(=CC=C(C4NCCN=4)C=3)C=2)=CC=1)NCC1C=CN=CC=1,,7.63827216398241,
1130,C1N=CC(C(C2C=CC(C(F)(F)F)=CC=2F)N2CCN(C(C3CC3)=O)CC2)=CN=1,6.75080164260889,,
2522,CC=C(C(OC1C2C(OC(C2=C)=O)C=C(C)C(O)CC(=O)C(=C)C1)=O)C,,6.39794000867204,
1430,N(C1C=CC2N=C(N(CC)CC)C=C(C)C=2C=1)C(C1C=CC=C(OC)C=1)=O,4.86173046740595,,
1195,N(CC1C=CC2OCOC=2C=1)C(C1SC(C2C=CC3OCOC=3C=2)=NC=1C)=O,5.45000047642533,,
2434,CC(NC(C1C=C2C(OC(C3C=CC(OCCCCCCOC4C=CC=CC=4)=CC=3)=C2)=CC=1)=N)C,,6.67571754470231,
1371,N(CCOC1C=CC(Cl)=CC=1Cl)C(CCl)=O,4.71961901898757,,
3701,CC([Si](OCC1C=CC(N2C(=O)NC(=O)C=C2)O1)(C)C)(C)C,,4.13667713987954,
4383,CC1(OC2C(=C(C3C(=O)C4C(=CC(=CC=4O)O)OC=3)C=CC=2O)CC1)C,,,4.23732143627256
3842,C(OC1C=CC(C2NC3C(=CC=CC=3)N=2)=CC=1)COC1C=CC(C2NC3C(=CC=CC=3)N=2)=CC=1,,3.81211282159045,
3901,OC1C(C(NC(C2C=CC(C3C=CC=CC=3)=CC=2)=O)=O)=CC=CC=1,,3.56200556478401,
3795,NC(NC1C=CC(NC(C2C=CC=CC=2)=O)=CC=1)=N,,3.91470942176993,
968,N(C1C=C(C(C)=NOC)C=CC=1N1C=CN=C1)C(C1SC(C2C=CC=CN=2)=CC=1)=O,8.17881411739115,,
3076,OC1C(O)=CC(CC(NCCCCNCCCNC(CC2C=C(O)C(O)=CC=2)=O)=O)=CC=1,,5.22914798835786,
3618,OCC1C(O)C(O)C(O)C(OC2C=C3C(C(C=C(C4C=CC(O)=CC=4)O3)=O)=C(O)C=2)O1,,4.27984069659404,
675,N(C1C=CC=CC=1)C(N1CCN(C(C2C=CC(Cl)=CC=2F)C2C=CC=NC=2)CC1)=O,8.20760831050175,,
2755,CC1CCC=C(C)CC(OC(C(=CCO)CO)=O)C2C(OC(C2=C)=O)C=1,,5.92081875395237,
2626,ClC1C=CC=C(C(NCCC2N=C(C3C=CC=CC=3)SC=2)=O)C=1,,6.19246497193115,
601,N(C1C=CC=CC=1OC1C=CC=CC=1)C(NC1CCN(C#N)C1)=O,5.30000020244542,,
1971,N(C1C=CC2N(CCC(C)C)C(CCC=2C=1)=O)C(C1C=CC=C(Br)C=1)=O,5.09270077757501,,
870,C1C=CC(C(C2C=CC(C#N)=CC=2)N2CCN(C(C3CC3)=O)CC2)=CN=1,6.55129368009492,,
2748,C(COC1C=CC=CC=1)CCOC1C=C(C2OC3C(=CC(C4NCCN=4)=CC=3)C=2)C=CC=1,,5.93181413825384,
1409,OC(C1C=CC(C#N)=CC=1F)(C1C=CC(C(F)(F)F)=CC=1)C1C=CC=NC=1,8.72056121171298,,
3947,CN(CCCN1C(=O)C2C=CC3=C4C=2C(=CC(=C4C(N(C3=O)CCCN(C)C)=O)NCC2N=NN(C3C(O)C(OC4C(O)C(O)C(O)C(CO)O4)C(O)C(CO)O3)C=2)C1=O)C,,,7.00436480540245
2681,OC1C=CC=C2C=1C(C(=CC2=O)OC1C=CC=CC=1)=O,,6.07058107428571,
1153,N(C1CCN(C(C2C=CC(C#N)=CC=2)C2C=CC=NC=2)CC1)C(C1N=C(C)SC=1)=O,7.18708664335714,,
95,CC1C=C(C)C(OC2N=C(NC3C=CC(C#N)=CC=3)N=C(NCCCCCNC3N=C(OC4C(C)=CC(C)=CC=4C)N=C(NC4C=CC(C#N)=CC=4)N=3)N=2)=C(C)C=1,,8.0,8.0
3836,COC1C(O)=CC=C(CC(NCCN2CCOCC2)=O)C=1,,3.82390874094432,
2360,O=C(N1CCCC1)NCCC1SC=C(C2C=CC=CC=2)N=1,,6.90308998699194,
376,C(CCC)=C(C1C=CC(Cl)=CC=1)C1C=CC=NC=1,7.1249387366083,,
722,OC1(CC(C2C=CC=NC=2)=O)C2C=C(C=CC=2N(CC2C=CC=CC=2)C1=O)Br,5.30000020244542,,
607,N(CC1C=CC(Cl)=CC=1)C(C1CN(C(C2C=CC(F)=CC=2)=O)CCS1)=O,4.60000007460618,,
453,C1C=CC(N(C2CCN(CC3C=CC(C(F)(F)F)=CC=3)CC2)C2C=CC(C(F)(F)F)=CC=2)=CN=1,7.48148606012211,,
1991,C1C=CC(OCC(OC2C=CC3N=C(N4CCN(C5C=CC=CC=5)CC4)SC=3C=2)=O)=CC=1,4.65925892977016,,
2728,O=C(C=CC1C=CC=CC=1)OC1C2C(C3C=CC=CC=3)CC(N3CCCC3)(CC2C2C=CC=CC=2)C1,,5.98296666070122,
3895,CCCCCCC1(C(=O)C(C)=C(O)O1)C,,3.60730304674033,
2357,O=C(C1C=CC(C2NCCN=2)=CC=1)NC1C=C(C(NC2C=CC(C3NCCN=3)=CC=2)=O)C=CC=1,,6.92081875395237,
2490,COCOC1C(=C)C2C3C(C(OC(C(=C)C)=O)CC(=C)C2C1)C(=C)C(=O)O3,,6.46852108295774,
1677,C(C1OC2C=CC=CC=2C(=O)N=1)=CC1C=CC(OCC)=CC=1,4.74834888472499,,
739,N(C1C=CN=C2C=1C=CN2)C1C(C)=C(C)NN=1,5.40000018605658,,
3805,NC1N=C(N)N=C(NCCCNCCCCCCCCCNCCCNC2N=C(N)N=C(N)N=2)N=1,,3.89279003035213,
3362,CCCCCC(CC1C(C(OC2C=C(OC)C(C(OC)=O)=C(CC(CCCCC)=O)C=2)=O)=C(O)C=C(OC)C=1)=O,,4.71219827006977,
51,C1C=C(C2N3C(C=CC(=N3)SCC(C3C=CC(Cl)=CC=3)=O)=NN=2)C=CN=1,5.95381053394794,,6.03782475058834
380,C1C=CC(CC(C2C=CC(Cl)=CC=2Cl)=NOCCC(C)C)=CN=1,6.58502665202918,,
1908,ON=C(C1C=CC=NC=1OC1C=CC=CC=1Cl)NC1CCC(C)CC1,4.882191576986,,
946,N(C1CCN(C2C=CC(F)=C(Cl)C=2)CC1)C(C1C=CC(Cl)=CC=1F)C1C=CC=NC=1,7.54515513999149,,
107,CC1C=C(C)C(NC2N=C(NC3C=CC(C#N)=CC=3)N=C(NCCNC3N=C(NC4C(Br)=CC(C)=CC=4Br)N=C(NC4C=CC(C#N)=CC=4)N=3)N=2)=C(C)C=1,,7.52287874528034,6.88605664769316
3122,CON=C(C1N=CC(C2N=C(C3C=NC(C(=NOC)N)=CC=3)C=NC=2)=CC=1)N,,5.10402526764094,
859,NCC1N=C(NC2C=C(OC3C=CC=CC=3)N=CN=2)SC=1,4.4999999533289,,
3998,CC(OC1C(O)C2C3N(CC4C2=CC2OCOC=2C=4)CCC3=C1)=O,,,6.34156640872185
3664,CCCCCCCCCCC1(C(=O)C(CC)=C(O)O1)C,,4.20760831050175,
349,OC1(CC(C2C=CC=NC=2)=O)C2C=C(C=CC=2N(CC2SC=CC=2)C1=O)Br,5.30000020244542,,
1889,N(C1C=CC=C(C2C=CC3=NN=C(C4C=CN=CC=4)N3N=2)C=1)C(C1C=CC2C=CC=CC=2N=1)=O,4.77290459112645,,
2208,NC(C1C=C2C(C=C(C3C=CC(OCCCOC4C=CC=CC=4)=CC=3)O2)=CC=1)=N,,7.60205999132796,
3290,COC1C2C(=C(C3C4CC(NC(C)C=4C(O)=CC=3O)C)C=CC=2O)C=C(C)C=1,,4.8153085691824,
2730,N=C(C1C=CC=CC=1)NC1C=CC(OC2C=CC=C(OC3C=CC(NC(C4C=CC=CC=4)=N)=CC=3)C=2)=CC=1,,5.98213228103649,
2109,CC1N2CCC=CCOC3C(Cl)=CC(CC(C(NC4(C#N)CC4)=O)NC(=O)C(=N2)C=1)=CC=3,,8.22184874961636,
2604,ClC1C(C2OC3C(=NC=CC=3)N=2)=CC(NC(C2OC=CC=2)=O)=CC=1,,6.22914798835786,
352,C1SC(C(N2CCC(N(C3C=CC(C(F)(F)F)=CC=3)C3C=CC=NC=3)CC2)=O)=C(C)N=1,8.15920410115291,,
3812,COC1C=C2C(C=C(C(NC(C3C(O)=CC=CC=3)=O)=O)C=C2)=CC=1,,3.88370198363242,
27,N(C1C=CC(NC2N=C(N(CC)CC)C=C(C)N=2)=CC=1)C(C1SC=CC=1)=O,6.11168391002938,,5.90756392737346
3564,O=C(C1C=CC(NC2NCCN=2)=CC=1)NC1C=CC=CC=1,,4.36754270781528,
2890,CC(CC(C(NC1(C#N)CC1)=O)NC(C1C=NN(C2C=CC(F)=CC=2)N=1)=O)C,,5.65757731917779,
3166,COC1C(OC)=C(O)C=C(CCCO)C=1,,5.0087739243075,
3495,CS(CC1C(O)C(O)C(N2C3C(=C(N=C(N=3)F)N)N=C2)O1)O,,4.46852108295774,
981,OC1C(CN2CC3(CCCN(CC4C=CC(F)=CC=4)C3)CC2)=C(OC)C=CC=1,4.91097956061847,,
3073,NC1N=CC(C#CC2(C3CCN(CC3)C2)O)=CC=1,,5.24412514432751,
1338,OCCNCCCCCCOC1C=CC(C)=CC=1C,4.79588001734407,,
423,C1C(Cl)=CC=C(CN2CC3C=C(C(C)(C)C)C=CC=3OC2)C=1,4.75287578679668,,
2576,CCCC(C1C=C2C(NC(C2=C2C3C(=CC=C(C=3)Br)N(C3C(OC(=O)C)C(OC(=O)C)C(OC(=O)C)C(COC(=O)C)O3)C2=O)=O)=CC=1)=O,,6.29242982390206,
930,C1N=CC(C(C2C=CC(Cl)=CC=2)C(N2CCN(C3C=CC(C(F)(F)F)=CC=3)CC2)=O)=CN=1,6.92811799269387,,
1428,N(CCCN(CC)CC)C1C2C=CC=CC=2N=C(C2C=CC(Cl)=CC=2)N=1,5.06754145619057,,
2733,C(COC1C=C(C2OC3C(=CC=C(C4NCCN=4)C=3)C=2)C=CC=1)COC1C=CC=CC=1,,5.96657624451305,
2832,CC(NC(C1N=CC=C(OCCCCCOC2C=C(C(NC(C)C)=N)N=CC=2)C=1)=N)C,,5.76955107862173,
3014,OC(P(=O)(O)O)(P(=O)(O)O)CC1C=NC=CC=1,,5.38510278396686,
1406,N(S(C1C=C(C2OC(C)=NC=2)C=CC=1OC)(=O)=O)C1C=CC(C)=CC=1C,5.55000045168902,,
1951,N(C1N(C2NC(=O)C=C(C)N=2)N=C(C)C=1)C(C1C=CC(S(N2CCCCC2)(=O)=O)=CC=1)=O,6.03839695049967,,
3707,COC1C=C(C=CC2OC=CC=2)OC(=O)C=1,,4.11918640771921,
52,N(C1OC(C2C=CC=CC=2SC)=NN=1)C(C1SC(Cl)=CC=1)=O,5.92725188138997,,5.61387144733956
2448,C(COC1C=CC(C2NCCN=2)=CC=1)CCOC1C=CC(C2NCCN=2)=CC=1,,6.61261017366127,
1654,N(CCC1C=CN(C2C=CC=CC=2)N=1)C(C1CCCCC1)=O,5.89999841719865,,
854,NC(C1CCN1C1N=C(CC2C=CC=C(C#N)C=2)C=C(NC2C=C(C3CC3)NN=2)N=1)=O,6.39999691337226,,
2017,N(C1C=C(Cl)C=CC=1OC)C(CSC1N(C2C=CC=C(C)C=2C)C=CN=1)=O,5.1638604044855,,
571,N(C1SC=C(C2C=CC=CN=2)N=1)C(C1CCC2C=CC=CC=2C1)=O,5.70000050388302,,
1160,OC1C=C(CSC2C=CC(Cl)=CC=2)N=C(C2C=CC=CN=2)N=1,6.0,,
2222,NC(C1C=CC(COC2C=C(C(=N)N)C=CC=2)=CC=1)=N,,7.55284196865778,
794,N(C1CCN(C(C2C=CC(C(F)(F)F)=CC=2)C2C=CC=NC=2)CC1)C(OC(C)(C)C)=O,7.95860731484177,,
1939,C1C=CC(CN(C2SC3C=C(C=CC=3N=2)SC)C(C2C=CC(C(C3C=CC=CC=3)=O)=CC=2)=O)=CN=1,5.7536461532862,,
3756,OC(COCCN1CCN(C(C2C=CC(Cl)=CC=2)C2C=CC=CC=2)CC1)=O,,4.00239521253954,
1052,N(C1C=CC=C(CNC(OC2CCCCC2)=O)C=1)C(NC1C=CC(C2OC=NC=2)=C(OC)C=1)=O,6.0,,
4236,COC1C=CC(CCOC2C(OC)=CC=C(C3C(C)(C)C(=O)N(C4CCCCCC4)N=3)C=2)=CC=1,,,5.09151498112135
3656,OC1C=CC(CC2C3NC=CC=3C3C(=CC=CC=3)N=2)=CC=1,,4.21324857785444,
1349,C1C=CC(C(C2C=CC(Cl)=CC=2F)N2CCN(C(C(F)(F)F)=O)CC2)=CN=1,6.49485002168009,,
2734,C(CCCOC1C=CC(C2NC3C(=CC=CC=3)N=2)=CC=1)CCCOC1C=CC(C2NC3C(=CC=CC=3)N=2)=CC=1,,5.96657624451305,
616,OC(C1C=CC(Cl)=C(C(N2CCOCC2)=O)C=1)(C1C=CC(Cl)=CC=1)C1C=CC=NC=1,6.92081875395237,,
1708,C1C=CC(C(C2C=CC(Cl)=CC=2)N2CCN(S(C3CCCCC3)(=O)=O)CC2)=CN=1,8.0,,
3589,ClC1C2OCC=CCN3C(=O)C(C(NC(C(NC4(C#N)CC4)=O)CC(=CC=2)C=1)=O)=CC=C3,,4.32057210338788,
262,CC1(C2C(C(F)(F)F)=NC3C(C=2C2C1=CC=CC=2)=CC(Br)=CC=3)OCC1OC1,,5.26042765554991,5.0670191780768
2126,NC(C1C=C(COC2C(Cl)=CC(C(=N)N)=CC=2)C=CC=1)=N,,8.15490195998574,
3476,CN(C1C=CC(C2N=C(CN3C4C(N(C5C=CC=CC=5)C(=O)C4N=N3)=O)ON=2)=CC=1)C,,4.50331236221757,
128,CC1C(OC2N=C(NC3C=CC(C#N)=CC=3)N=C(NCCCNC3N=C(OC4C(C)=CC(Cl)=CC=4C)N=C(NC4C=CC(C#N)=CC=4)N=3)N=2)=C(C)C=C(Cl)C=1,,6.88605664769316,6.88605664769316
777,N(C1C=C(C(OCC)=O)C=CC=1N1C=CN=C1)C(C1C=NC(C2C=CC=CC=2)=NC=1)=O,8.52287874528034,,
2411,NC(C1C=C(C2N=NN(C3C(O)=CC(C(=N)N)=CC=3)C=2)C=CC=1)=N,,6.75696195131371,
469,N(CCCN1CCC(N2CCCCC2)CC1)C(C1COC2C=CC(=CC=2C=1)Br)=O,5.37478429839541,,
3222,BrC1C=CC=C(C(CC(C2C=NC=CC=2)CC(C2C=C(Br)C=CC=2)=O)=O)C=1,,4.91364016932525,
2042,N(C1N(C2NC(=O)C=C(CCC)N=2)N=C(C)C=1)C(COC1C=CC(Cl)=CC=1Cl)=O,6.04373820544138,,
3543,NS(NC(OCC1C=CC(N2C(=O)NC(=O)C=C2)O1)=O)(=O)=O,,4.39794000867204,
2370,CNC(NC1C=NC(C2C=CC(C3N=CC(NC(NC)=N)=CC=3)=CC=2)=CC=1)=N,,6.87289520163519,
3231,COC1C2C(C3C(OC=2C=CC=1)=CC1OC2(OC(C=1C=3O)CC(O)C2)C)=O,,4.89652621748955,
2478,CN=C(NC1C=CC(OC2C=CC=C(OC3C=CC(NC(=NC)N)=CC=3)C=2)=CC=1)N,,6.49757288001557,
177,CC1C=C(Br)C(NC2N=C(NC3C=CC(C#N)=CC=3)N=C(NCCCCNC3N=C(NC4C(Br)=CC(C)=CC=4Br)N=C(NC4C=CC(C#N)=CC=4)N=3)N=2)=C(Br)C=1,,6.13667713987954,6.2518119729938
1556,NC(CC1C2C=CC=CC=2C=CC=1)=NOC(C1C=CC=CC=1OC)=O,5.2611085045408,,
1996,N(C1SC=C(CCC(NC2C=CC=CC=2SC)=O)N=1)C(C1SC=CC=1)=O,4.87503435959848,,
3331,COC1C(C)C(OC(=O)C)C(C)C(O)C(C)C(O)C(C)C=CC=C(C)C(=O)NC2C3N4C(C=C(C=C4)C)=NC=3C3=C4C(=O)C(OC4=C(C(=C3C=2O)O)C)(C)OC=C1,,4.76598918241282,
3364,CC1C=C(C)C(NC2N=C(NC3C=CC(C#N)=CC=3)N=CC=2)=C(C)C=1,,4.70996538863748,
4070,CCCN1C2C(=CC(=C(N3CCC(C(=O)N)CC3)C=2)F)C(=O)C(C(NCC2C=CC=CC=2)=O)=C1,,,5.90308998699194
1763,N(C1CCN(C(C2C=CC(C#N)=CC=2)C2C=CC=NC=2)CC1)C(C1C=CC(F)=CC=1F)=O,8.0,,
290,NC1N=C(N)N=C(NN=CC2OC=CC=2)N=1,,4.88941028970075,4.78251605578609
660,C1C=CC(C(C2C=CC(Cl)=CC=2)N2CCN(S(C3C=CC=CC=3)(=O)=O)CC2)=CN=1,8.07058107428571,,
2752,CC=C(C(OC(C1C(=C)C(=O)OC1C=C(C=O)C)C=C(C(=O)C)C)=O)C,,5.92081875395237,
4285,COC1C=CC(C2C(=O)C3C(=CC(=CC=3O)O)OC=2)=CC=1,,,4.9100948885606
4395,CC1(OC2C(=CC(C3C(=O)C4C(=CC(=CC=4O)O)OC=3)=CC=2O)CC1)C,,,4.11350927482752
4168,OC1C(O)=CC(CCOC(OCCCCOC(OCCC2C=C(O)C(O)=CC=2)=O)=O)=CC=1,,,5.39794000867204
490,OC(CN1C2C=CC(=CC=2C2C=C(C=CC1=2)I)I)CNC1CCCCC1,6.04459610072692,,
1974,N(C1OC(C2COC3C=CC=CC=3O2)=NN=1)C(C1C=CC(F)=CC=1)=O,6.07238874643444,,
979,NC1N=C(C2C=C(CCC)C=C(N)N=2)C=C(CCC)C=1,5.70000050388302,,
1513,C1C=CC(C(C2C=CC(C#N)=CC=2)N2CCN(S(C)(=O)=O)CC2)=CN=1,6.43770713554352,,
1780,NC1N=C(C2C=CC=CC=2)C=C(C2NC3N=CC=CC=3N=2)N=1,5.49999967865706,,
1725,C1C2C(N(CC=2N=C(N2CCCC2)N=1)C1C=CC2OCOC=2C=1)=O,5.59999938302362,,
3962,CCCCN1C2C(=CC=C(N3CCOCC3)C=2)C(=O)C(C(NCC2C=CC=CC=2)=O)=C1,,,6.69897000433602
3022,C(COC1C=C(C2NCCN=2)C=CC=1)COC1C=CC=C(C2NCCN=2)C=1,,5.36653154442041,
2672,CCC(C(CC(C1C2(C)C(C3C(CC2)C2(C)C(CC(OC4C(O)C(OC5C(O)C(O)C(O)CO5)C(O)C(C(=O)O)O4)CC2)CC=3)C(=O)C=1O)C)=O)C(C)C,,6.09691001300806,
3409,NC(C1C=CC(COC2C(Br)=CC(C(=NO)N)=CC=2)=CC=1)=NO,,4.61978875828839,
986,N(C1CCN(C(C2C=CC(C(F)(F)F)=CC=2)C2C=CC=NC=2)CC1)C(C1N(C(C)(C)C)N=C(C)C=1)=O,7.86966623150499,,
